URL,Job ID,Candidate ID,Shortlisting Date,Screening Date,Review Date,Interview Date,Offer submission Date,Offer approval Date,Offer Acceptance Date,Date of Joining,Currency,Offered CTC,Date of joining in offer
a1,J0001,C0001,,,,,26/07/2012,26/07/2012,,,INR,320400,31/07/2012
bal,J0001,C0004,,,,,,,,,,,
bal,J0002,C0003,,,,,,,,,,,
bal,J0003,C0002,,,,,,,,,INR,250000,
bal,J0003,C0003,,,,,,,,,,,
demo,J0001,C0002,,,,,25/08/2012,25/08/2012,,27/08/2012,INR,25000,27/08/2012
demo,J0001,C0004,,,,,,,,,INR,,28/08/2012
demo,J0001,C0005,,,,,,,,,INR,,
demo,J0002,C0001,,,,,28/09/2015,,,,INR,550000,
demo,J0002,C0010,,,,,,,,,,,
demo,J0003,C0006,,,,,06/12/2012,06/12/2012,21/08/2015,20/08/2013,INR,250000,21/08/2013
demo,J0004,C0007,,,,,,,,,,,
demo,J0004,C0015,,,,,,,,,,,
demo,J0004,C0022,,,,,,,,,,,
demo,J0005,C0008,,,,,28/09/2015,28/09/2015,,,INR,650000,
demo,J0005,C0014,,,,01/02/2016,01/02/2016,01/02/2016,01/02/2016,,INR,450000,01/03/2016
demo,J0005,C0024,,,,,,,,,,,
demo,J0005,C0026,,,,05/07/2016,,,,,,,
demo,J0008,C0004,,,,,,,,,,,
demo,J0008,C0005,,,,,,,,,,,
demo,J0008,C0007,,,,,,,,,,,
demo,J0008,C0008,,,,,,,,,INR,500000,
demo,J0008,C0009,,,,,,,,,,,
demo,J0008,C0010,,,,,11/12/2014,11/12/2014,28/09/2015,01/09/2015,INR,560000,01/09/2015
demo,J0008,C0014,,,,25/04/2016,,,,,,,
demo,J0008,C0017,,,,13/04/2016,,,,,,,
demo,J0008,C0021,,,,,,,,,INR,450000,
demo,J0008,C0022,14/12/2015,14/12/2015,14/12/2015,14/12/2015,,,,,,,
demo,J0008,C0027,,,,,,,,,,,
demo,J0012,C0013,,,,,,,,,,,
demo,J0012,C0014,,,,,,,,,,,
demo,J0012,C0020,,,,,,,,,,,
demo,J0012,C0029,,,,,,,,,,,
demo,J0017,C0022,08/06/2016,08/06/2016,,,,,,,,,
demo,J0018,C0007,,,,,,,,,,,
demo,J0018,C0019,,,,,,,,,,,
demo,J0019,C0009,,,,22/09/2015,,,,,,,
demo,J0020,C0020,21/06/2016,21/06/2016,,22/06/2016,,,,,,,
demo,J0022,C0001,,,,,,,,,,,
demo,J0022,C0012,11/11/2015,11/11/2015,10/11/2015,12/11/2015,,,,,,,
demo,J0026,C0003,,,,,,,,,,,
demo,J0027,C0003,,,,,,,,,,,
demo,J0027,C0028,,,,15/03/2016,07/06/2016,07/06/2016,,,INR,750000,
demo,J0028,C0031,20/05/2016,20/05/2016,,20/05/2016,19/05/2016,19/05/2016,,,INR,2000000,
demo,J0029,C0017,,,,24/05/2016,,,,,INR,455000,
demo,J0030,C0032,,,,,,,,,,,
demo,J0033,C0009,,,,,,,,,,,
ework,J0001,C0001,,,,,,,,,,,
ework,J0002,C0003,,,,,,,,,,,
ework,J0002,C0004,,,,,,,,,,,
ework,J0002,C0005,,,,,,,,,,,
ework,J0002,C0006,,,,,,,,,,,
ework,J0002,C0007,,,,,,,,,,,
ework,J0002,C0008,,,,,,,,,,,
ework,J0002,C0011,,,,,,,,,,,
ework,J0002,C0012,,,,,,,,,,,
ework,J0002,C0013,,,,,,,,,,,
ework,J0002,C0014,,,,,,,,,,,
ework,J0002,C0015,,,,,,,,,,,
ework,J0002,C0016,,,,,,,,,,,
ework,J0002,C0017,,,,,,,,,,,
ework,J0002,C0018,,,,,,,,,,,
ework,J0004,C0028,,,,,,,,,,,
ework,J0004,C0029,,,,,,,,,,,
ework,J0004,C0030,,,,,,,,,,,
ework,J0005,C0019,,,23/11/2015,,,,,,,,
ework,J0005,C0024,,,,23/11/2015,,,,,,,
ework,J0005,C0026,,,,,,,,,,,
ework,J0005,C0045,,,,11/12/2015,,,,,,,
ework,J0006,C0025,,,,,,,,,,,
ework,J0007,C0031,,,,,,,,,,,
ework,J0007,C0042,,,,,11/12/2015,11/12/2015,,,INR,468000,
fts,J0001,C00001,,,,,20/12/2012,20/12/2012,20/12/2012,18/12/2012,INR,230000,18/12/2012
gkseg,J0001,C0001,,,,,27/08/2012,27/08/2012,,,INR,25000,29/08/2012
ict,J0001,C0001,,,,,07/08/2012,07/08/2012,12/12/2012,07/08/2012,INR,18000,07/08/2012
ict,J0001,C0002,,,,,,,,,,,
ict,J0001,C0003,,,,,,,,,,,
ict,J0001,C0004,,,,,,,,,,,
ict,J0001,C0005,,,,,,,,,INR,4000000,
ict,J0001,C0006,,,,,,,,,,,
ict,J0002,C0004,,,,,,,,,,,
ict,J0003,C0002,,,,,06/02/2013,06/02/2013,10/09/2014,01/09/2014,INR,240000,01/09/2014
ict,J0003,C0004,,,,,,,,,,,
ict,J0003,C0006,,,,,,,,,,,
ict,J0004,C0004,,,,,22/03/2013,22/03/2013,,,INR,235000,
ict,J0004,C0005,,,,,,,,,,,
ict,J0004,C0006,,,,,,,,,,,
ict,J0004,C0007,,,,,,,,,,,
ict,J0005,C0004,,,,,,,,,,,
ict,J0005,C0006,,,,,22/03/2013,22/03/2013,,,INR,800000,
ict,J0005,C0007,,,,,,,,,,,
itt,J0001,C0001,,,,,15/10/2015,,15/10/2015,,,,
itt,J0002,C0003,07/01/2016,07/01/2016,06/01/2016,08/01/2016,06/01/2016,,06/01/2016,06/01/2016,INR,400000,11/01/2016
itt,J0002,C0014,05/03/2016,05/03/2016,04/03/2016,07/03/2016,,,,,INR,650000,
itt,J0003,C0004,,,14/02/2016,,,,,,,,
itt,J0003,C0005,,,,,,,,,,,
itt,J0003,C0006,14/02/2016,14/02/2016,14/02/2016,14/02/2016,,,,,INR,350000,
itt,J0003,C0007,14/02/2016,14/02/2016,14/02/2016,14/02/2016,,,,,,,
itt,J0003,C0008,14/02/2016,14/02/2016,14/02/2016,14/02/2016,,,,,,,
itt,J0003,C0009,14/02/2016,14/02/2016,14/02/2016,14/02/2016,,,,,,,
itt,J0003,C0010,,,,,,,,,,,
itt,J0003,C0011,,,,,,,,,,,
itt,J0003,C0012,17/02/2016,17/02/2016,17/02/2016,17/02/2016,,,,,,,
itt,J0003,C0013,,,,,,,,,,,
itt,J0003,C0014,,,,,,,,,,,
itt,J0003,C0015,,,,,,,,,,,
itt,J0003,C0016,,,,,,,,,,,
itt,J0003,C0017,,,,,,,,,,,
itt,J0003,C0018,,,,,,,,,,,
itt,J0003,C0019,,,,,,,,,,,
itt,J0003,C0020,,,,,,,,,,,
itt,J0003,C0021,,,,,,,,,,,
itt,J0004,C0005,11/03/2016,11/03/2016,11/03/2016,11/03/2016,,,,,,,
itt,J0005,C0007,,,,,,,,,,,
itt,J0005,C0011,,,,,,,,,,,
itt,J0005,C0020,15/02/2016,15/02/2016,15/02/2016,15/02/2016,,,,,INR,450000,
itt,J0006,C0002,15/02/2016,15/02/2016,15/02/2016,16/02/2016,,,,,,,
itt,J0006,C0172,16/02/2016,16/02/2016,16/02/2016,17/02/2016,,,,,INR,520000,
itt,J0008,C0023,17/02/2016,17/02/2016,16/02/2016,18/02/2016,,,,,INR,500000,
itt,J0008,C0024,17/02/2016,17/02/2016,16/02/2016,18/02/2016,,,,,INR,600000,
itt,J0011,C0010,04/03/2016,04/03/2016,04/03/2016,07/03/2016,,,,,INR,500000,
itt,J0012,C0012,11/03/2016,11/03/2016,11/03/2016,12/03/2016,,,,,INR,500000,
itt,J0013,C0042,14/03/2016,14/03/2016,11/03/2016,16/03/2016,,,,,INR,500000,
itt,J0014,C0017,31/03/2016,31/03/2016,31/03/2016,31/03/2016,,,,,INR,400000,
itt,J0014,C0021,,,,,,,,,,,
itt,J0014,C0232,,,,,,,,,,,
itt,J0014,C0243,31/03/2016,31/03/2016,31/03/2016,31/03/2016,,,,,,,
itt,J0015,C0255,31/03/2016,31/03/2016,31/03/2016,31/03/2016,,,,,INR,1700000,
itt,J0016,C0244,05/04/2016,05/04/2016,05/04/2016,05/04/2016,,,,,INR,600000,
itt,J0017,C0018,27/04/2016,27/04/2016,27/04/2016,27/04/2016,,,,,INR,1200000,
itt,J0018,C0232,28/04/2016,28/04/2016,27/04/2016,28/04/2016,,,,,INR,1200000,
a2,J0001,C0002,,,,,,,,,,,
a2,J0001,C0011,,,,,,,,,,,
a2,J0001,C0013,,,,,,,,,,,
a2,J0001,C0015,,,,,,,,,,,
a2,J0001,C0016,,,,,,,,,,,
a2,J0001,C0017,,,,,,,,,,,
a2,J0001,C0019,,,,,,,,,,,
a2,J0001,C0079,,,,,,,,,,,
a2,J0003,C0003,,,,,,,,,,,
a2,J0003,C0004,,,,,,,,,,,
a2,J0003,C0014,,,,,,,,,,,
a2,J0003,C0018,,,,,,,,,,,
a2,J0003,C0020,,,,,,,,,,,
a2,J0003,C0021,,,,,,,,,,,
a2,J0003,C0023,,,,,,,,,,,
a2,J0003,C0170,,,,,,,,,,,
a2,J0004,C0034,,,,,,,,,,,
a2,J0004,C0036,,,,,,,,,,,
a2,J0004,C0120,,,,,,,,,,,
a2,J0005,C0035,,,,,,,,,,,
a2,J0005,C0036,,,,,,,,,,,
a2,J0005,C0041,,,,,,,,,,,
a2,J0005,C0042,,,,,,,,,,,
a2,J0005,C0046,,,,,,,,,,,
a2,J0005,C0183,,,,,,,,,,,
a2,J0005,C0473,,,,,,,,,,,
a2,J0005,C0474,,,,,,,,,,,
a2,J0006,C0009,,,,,,,,,,,
a2,J0006,C0012,,,,,,,,,,,
a2,J0006,C0022,,,,,,,,,,,
a2,J0006,C0025,,,,,,,,,,,
a2,J0006,C0026,,,,,,,,,,,
a2,J0006,C0030,,,,,,,,,,,
a2,J0006,C0031,,,,,,,,,,,
a2,J0006,C0032,,,,,,,,,,,
a2,J0006,C0054,,,,,,,,,,,
a2,J0006,C0056,,,,,,,,,,,
a2,J0006,C0058,,,,,,,,,,,
a2,J0006,C0059,,,,,,,,,,,
a2,J0006,C0060,,,,,,,,,,,
a2,J0006,C0062,,,,,,,,,,,
a2,J0006,C0064,,,,,,,,,,,
a2,J0006,C0065,,,,,,,,,,,
a2,J0006,C0068,,,,,,,,,,,
a2,J0006,C0069,,,,,,,,,,,
a2,J0006,C0070,,,,,,,,,,,
a2,J0006,C0071,,,,,,,,,,,
a2,J0006,C0072,,,,,,,,,,,
a2,J0006,C0075,,,,,,,,,,,
a2,J0006,C0078,,,,,,,,,,,
a2,J0006,C0080,,,,,,,,,,,
a2,J0006,C0081,,,,,,,,,,,
a2,J0006,C0082,,,,,,,,,,,
a2,J0006,C0083,,,,,,,,,,,
a2,J0006,C0084,,,,,,,,,,,
a2,J0006,C0087,,,,,,,,,,,
a2,J0006,C0088,,,,,,,,,,,
a2,J0006,C0090,,,,,,,,,,,
a2,J0006,C0092,,,,,,,,,,,
a2,J0006,C0093,,,,,,,,,,,
a2,J0006,C0094,,,,,,,,,,,
a2,J0006,C0095,,,,,,,,,,,
a2,J0006,C0096,,,,,,,,,,,
a2,J0006,C0097,,,,,,,,,,,
a2,J0006,C0098,,,,,,,,,,,
a2,J0007,C0027,,,,15/07/2015,,,,,,,
a2,J0007,C0045,,,,,,,,,,,
a2,J0007,C0099,,,,22/07/2015,,,,,,,
a2,J0007,C0102,,,,,,,,,,,
a2,J0007,C0103,,,,,,,,,,,
a2,J0007,C0108,,,,,,,,,,,
a2,J0007,C0127,,,,,,,,,,,
a2,J0007,C0156,,,,,,,,,,,
a2,J0007,C0157,,,,,,,,,,,
a2,J0007,C0159,,,,,,,,,,,
a2,J0007,C0163,,,,,,,,,,,
a2,J0007,C0185,,,,,06/08/2015,06/08/2015,07/08/2015,06/08/2015,INR,720000,06/08/2015
a2,J0008,C0024,,,,,,,,,,,
a2,J0008,C0033,,,,,22/07/2015,22/07/2015,22/07/2015,20/07/2015,INR,720000,20/07/2015
a2,J0008,C0051,,,,,,,,,,,
a2,J0008,C0052,,,,,,,,,,,
a2,J0008,C0085,,,,,,,,,,,
a2,J0008,C0086,,,,,,,,,,,
a2,J0008,C0089,,,,,,,,,,,
a2,J0008,C0091,,,,,,,,,,,
a2,J0008,C0158,,,,,,,,,,,
a2,J0008,C0162,,,,,,,,,,,
a2,J0010,C0002,,,,,,,,,,,
a2,J0010,C0007,,,,,10/09/2015,10/09/2015,,,INR,720000,
a2,J0011,C0050,,,,,,,,,,,
a2,J0011,C0090,,,,,24/09/2015,24/09/2015,07/10/2015,21/09/2015,INR,182400,21/09/2015
a2,J0011,C0115,,,,,,,,,,,
a2,J0012,C0047,,,,20/07/2015,,,,,,,
a2,J0012,C0048,,,,20/07/2015,24/07/2015,24/07/2015,27/07/2015,27/07/2015,INR,182400,27/07/2015
a2,J0012,C0049,,,,,,,,,,,
a2,J0012,C0100,,,,22/07/2015,,,,,,,
a2,J0012,C0104,,,,,,,,,,,
a2,J0012,C0109,,,,,,,,,,,
a2,J0012,C0110,,,,,,,,,,,
a2,J0012,C0112,,,,,,,,,,,
a2,J0013,C0143,,,,,,,,,,,
a2,J0014,C0136,,,,,,,,,,,
a2,J0014,C0140,,,,,,,,,,,
a2,J0014,C0176,,,,,,,,,,,
a2,J0015,C0100,,,,,31/07/2015,31/07/2015,31/07/2015,27/07/2015,INR,182400,27/07/2015
a2,J0015,C0125,,,,,,,,,INR,,
a2,J0015,C0126,,,,,,,,,INR,,
a2,J0015,C0153,,,,,,,,,,,
a2,J0015,C0171,,,,,31/07/2015,31/07/2015,31/07/2015,27/07/2015,INR,182400,27/07/2015
a2,J0015,C0172,,,,,,,,,,,
a2,J0015,C0182,,,,,,,,,,,
a2,J0015,C0184,,,,,,,,,,,
a2,J0015,C0188,,,,,10/08/2015,10/08/2015,11/08/2015,31/07/2015,INR,182400,31/07/2015
a2,J0015,C0189,,,,,10/08/2015,10/08/2015,11/08/2015,07/08/2015,INR,182400,07/08/2015
a2,J0015,C0190,,,,,10/08/2015,10/08/2015,11/08/2015,07/08/2015,INR,182400,07/08/2015
a2,J0016,C0178,,,,,,,,,,,
a2,J0016,C0186,,,,,,,,,,,
a2,J0016,C0215,,,,,14/09/2015,14/09/2015,25/11/2015,07/10/2015,INR,570000,07/10/2015
a2,J0017,C0179,,,,,,,,,,,
