URL,Job ID,Job ID Creation Date,Job ID Approval Date,Job ID Release Date,No of vacancies,Recruiter Code,Min CTC,Max CTC,Currency,Status
a1,J0001,,,22/06/2012,2,100-01,100000,300000,INR,Released
bal,J0001,,,26/04/2011,2,1,2500000,3500000,INR,Released
bal,J0002,,,01/10/2012,1,1,2400000,2800000,INR,Released
bal,J0003,,,27/05/2012,1,6,80000,120000,INR,Released
demo,J0001,,,30/05/2016,1,6,35000,40000,INR,Closed
demo,J0002,,,30/05/2016,1,6,20000,35000,INR,Cancelled
demo,J0003,,,05/12/2012,1,6,200000,300000,INR,Closed
demo,J0004,,,06/12/2012,1,6,200000,300000,INR,Cancelled
demo,J0005,,,23/12/2015,3,6,200000,300000,INR,Released
demo,J0006,,,,2,,400000,700000,INR,Cancelled
demo,J0007,,,,1,,35000,40000,INR,Cancelled
demo,J0008,,,30/05/2016,1,1,800000,1000000,INR,Closed
demo,J0009,,,,1,,120000,150000,INR,Cancelled
demo,J0011,,,,1,,3,4.5,INR,Cancelled
demo,J0012,,,11/03/2015,5,1,800000,1200000,INR,Cancelled
demo,J0013,,,,8,,20000,35000,INR,Cancelled
demo,J0014,,,,1,,200000,300000,INR,Cancelled
demo,J0015,,,,2,,500000,600000,INR,Approved
demo,J0016,,,24/07/2015,1,6,450000,550000,INR,Cancelled
demo,J0017,,,07/06/2016,2,6,35000,40000,INR,Released
demo,J0018,,,09/09/2015,1,6,600000,700000,INR,Cancelled
demo,J0019,,,09/09/2015,5,6,35000,40000,INR,Cancelled
demo,J0020,,,28/09/2015,1,6,1900000,2000000,INR,Released
demo,J0021,,,,1,,500000,600000,INR,Approved
demo,J0022,,,19/10/2015,2,6,450000,500000,INR,Released
demo,J0023,,,,2,,600000,800000,INR,Approved
demo,J0024,,,,1,,800000,1000000,INR,Draft
demo,J0025,,,,1,,300000,600000,INR,Approved
demo,J0026,,,01/02/2016,1,6,400000,420000,INR,Released
demo,J0027,,,12/03/2016,1,6,400000,425000,INR,Released
demo,J0028,,,19/05/2016,1,6,1600000,1800000,INR,Released
demo,J0029,,,23/05/2016,1,6,400000,425000,INR,Released
demo,J0030,,,27/05/2016,1,6,400000,500000,INR,Released
demo,J0031,,,,10,,5000,8000,INR,Approved
demo,J0032,,,08/06/2016,2,6,500000,600000,INR,Released
demo,J0033,,,07/07/2016,3,6,350000,400000,INR,Released
demo,J0034,,,04/07/2016,2,6,500000,550000,INR,Released
eks,J0002,,,02/11/2015,2,EKS-157,300000,350000,INR,Released
ework,J0001,,,21/07/2011,2,E191289,300000,350000,INR,Released
ework,J0002,,,04/02/2014,2,E191289,180000,200000,INR,Released
ework,J0003,,,06/04/2015,2,E405726,0,0,INR,Released
ework,J0004,,,21/11/2015,3,E191289,200000,350000,INR,Released
ework,J0005,,,05/12/2015,5,E191289,400000,500000,INR,Released
ework,J0006,,,20/11/2015,2,E191289,1000000,1300000,INR,Released
ework,J0007,,,21/11/2015,1,E191289,200000,450000,INR,Released
fts,J0001,,,20/12/2012,3,3,220000,270000,INR,Released
gkseg,J0001,,,27/08/2012,4,2,25000,40000,INR,Released
ict,J0001,,,07/08/2012,5,1,25000,30000,INR,Released
ict,J0002,,,07/08/2012,5,1,15000,25000,INR,Released
ict,J0003,,,06/07/2015,4,1,240000,300000,INR,Released
ict,J0004,,,22/03/2013,5,1,230000,260000,INR,Released
ict,J0005,,,22/03/2013,6,1,240000,280000,INR,Released
ict,J0006,,,25/10/2014,2,1,140000,180000,INR,Released
ict,J0007,,,02/05/2015,2,1,160000,200000,INR,Released
ict,J0008,,,08/06/2016,2,1,200000,250000,INR,Released
ict,J0009,,,09/06/2016,2,1,240000,350000,INR,Released
iray,J0001,,,13/07/2015,20,1008,120000,180000,INR,Cancelled
a5,J0001,,,,4,,800000,1200000,INR,Cancelled
a5,J0002,,,26/05/2016,3,17175,600000,800000,INR,Released
a5,J0003,,,,1,,400000,800000,INR,Submitted
a5,J0004,,,,1,,400000,600000,INR,Submitted
a5,J0005,,,,1,,500000,900000,INR,Submitted
a5,J0006,,,,1,,700000,1400000,INR,Submitted
a5,J0007,,,,1,,1600000,2200000,INR,Submitted
a5,J0008,,,26/05/2016,1,16059,600000,1000000,INR,Released
itt,J0001,,,14/10/2015,3,16059,1000000,1400000,INR,Released
itt,J0002,,,04/03/2016,2,16059,0,0,INR,Released
itt,J0003,,,14/02/2016,1,17162,400000,500000,INR,Released
itt,J0004,,,15/02/2016,5,17162,400000,700000,INR,Released
itt,J0005,,,15/02/2016,2,12894,400000,700000,INR,Released
itt,J0006,,,15/02/2016,2,12894,500000,800000,INR,Released
itt,J0007,,,15/02/2016,1,12894,450000,750000,INR,Released
itt,J0008,,,15/02/2016,2,16059,400000,600000,INR,Released
itt,J0009,,,03/03/2016,2,16059,400000,800000,INR,Released
itt,J0010,,,,2,,500000,800000,INR,Submitted
itt,J0011,,,04/03/2016,1,16059,450000,600000,INR,Released
itt,J0012,,,11/03/2016,1,17162,400000,900000,INR,Released
itt,J0013,,,11/03/2016,2,17162,400000,800000,INR,Released
itt,J0014,,,30/03/2016,2,17162,300000,600000,INR,Released
itt,J0015,,,31/03/2016,1,17162,1500000,2000000,INR,Released
itt,J0016,,,04/04/2016,2,17162,500000,900000,INR,Released
itt,J0017,,,26/04/2016,2,16059,1000000,1400000,INR,Released
itt,J0018,,,26/04/2016,2,17162,1000000,1400000,INR,Released
a2,J0001,,,21/07/2015,2,1776,0,0,INR,Cancelled
a2,J0002,,,16/07/2015,1,1796,0,0,INR,Cancelled
a2,J0003,,,29/06/2015,1,1776,0,0,INR,Cancelled
a2,J0004,,,23/09/2015,1,1776,0,0,INR,Cancelled
a2,J0005,,,30/06/2015,10,1796,0,0,INR,Released
a2,J0006,,,30/06/2015,10,1776,0,0,INR,Released
a2,J0007,,,04/09/2015,1,1796,0,0,INR,Closed
a2,J0008,,,04/09/2015,1,1776,0,0,INR,Closed
a2,J0009,,,15/07/2015,1,1796,0,0,INR,Cancelled
a2,J0010,,,15/07/2015,1,1796,0,0,INR,Cancelled
a2,J0011,,,23/09/2015,1,1796,0,0,INR,Closed
a2,J0012,,,16/07/2015,1,1796,0,0,INR,Closed
a2,J0013,,,21/07/2015,1,1776,0,0,INR,Cancelled
a2,J0014,,,22/07/2015,1,1776,0,0,INR,Cancelled
a2,J0015,,,05/08/2015,5,1796,0,0,INR,Closed
a2,J0016,,,29/07/2015,1,1776,0,0,INR,Closed
a2,J0017,,,24/08/2015,1,1796,0,0,INR,Closed
a2,J0018,,,04/08/2015,2,1776,0,0,INR,Closed
a2,J0019,,,11/08/2015,2,1796,0,0,INR,Closed
a2,J0020,,,24/08/2015,3,1796,0,0,INR,Closed
a2,J0021,,,24/08/2015,3,1796,0,0,INR,Closed
a2,J0022,,,10/09/2015,2,1796,360000,480000,INR,Cancelled
a2,J0023,,,09/10/2015,1,1796,0,0,INR,Closed
a2,J0024,,,23/09/2015,4,1776,0,0,INR,Cancelled
a2,J0025,,,25/11/2015,1,1796,720000,840000,INR,Closed
a2,J0026,,,25/11/2015,2,1796,0,0,INR,Closed
a2,J0027,,,25/11/2015,1,1796,0,0,INR,Closed
a2,J0028,,,25/11/2015,1,1796,0,0,INR,Closed
a2,J0029,,,01/12/2015,1,1776,0,0,INR,Cancelled
a2,J0030,,,04/12/2015,1,1796,0,0,INR,Closed
a2,J0031,,,04/12/2015,1,1796,0,0,INR,Closed
a2,J0032,,,07/01/2016,1,1796,0,0,INR,Closed
a2,J0033,,,07/01/2016,1,1796,0,0,INR,Closed
a2,J0034,,,07/01/2016,2,1796,0,0,INR,Closed
a2,J0035,,,07/01/2016,1,1796,0,0,INR,Closed
a2,J0036,,,12/02/2016,1,2117,0,0,INR,Released
a2,J0037,,,12/02/2016,1,1796,0,0,INR,Cancelled
a2,J0038,,,12/02/2016,1,1796,0,0,INR,Closed
a2,J0039,,,12/02/2016,1,1796,0,0,INR,Closed
a2,J0040,,,12/02/2016,1,1796,0,0,INR,Closed
a2,J0041,,,15/02/2016,1,2117,0,0,INR,Released
a2,J0042,,,23/02/2016,1,1796,0,0,INR,Closed
a2,J0043,,,23/02/2016,1,1796,0,0,INR,Closed
a2,J0044,,,24/02/2016,1,1796,0,0,INR,Closed
a2,J0045,,,01/03/2016,1,1796,0,0,INR,Closed
a2,J0046,,,08/04/2016,1,1796,0,0,INR,Closed
a2,J0047,,,07/03/2016,1,1796,0,0,INR,Closed
a2,J0048,,,07/03/2016,1,1796,0,0,INR,Released
a2,J0049,,,19/05/2016,1,2117,0,0,INR,Closed
a2,J0050,,,16/03/2016,1,1796,0,0,INR,Closed
a2,J0051,,,28/03/2016,1,2117,0,0,INR,Released
a2,J0052,,,19/05/2016,2,2117,0,0,INR,Closed
a2,J0053,,,28/03/2016,1,2117,0,0,INR,Released
a2,J0054,,,28/03/2016,1,1796,0,0,INR,Cancelled
a2,J0055,,,28/03/2016,1,1796,0,0,INR,Closed
a2,J0056,,,02/05/2016,1,2117,0,0,INR,Closed
a2,J0057,,,01/06/2016,1,2117,0,0,INR,Released
a2,J0058,,,01/06/2016,1,2117,0,0,INR,Released
a2,J0059,,,01/06/2016,3,2117,0,0,INR,Released
a2,J0060,,,01/06/2016,2,2117,0,0,INR,Released
a2,J0061,,,07/07/2016,1,1796,0,0,INR,Closed
a2,J0062,,,07/07/2016,1,1796,0,0,INR,Released
a2,J0063,,,07/07/2016,1,1796,0,0,INR,Closed
a2,J0064,,,07/07/2016,1,1796,0,0,INR,Released
a2,J0065,,,07/07/2016,2,1796,0,0,INR,Released
a2,J0066,,,07/07/2016,8,2117,0,0,INR,Released
a2,J0067,,,07/07/2016,1,2117,0,0,INR,Released
a2,J0068,,,08/07/2016,2,1796,0,0,INR,Closed
mktt,J0001,,,06/03/2013,3,1,320000,450000,KES,Released
mktt,J0002,,,06/03/2013,2,1,350000,400000,KES,Released
paid,J0001,,,30/12/2014,2,1,120000,160000,INR,Released
shg,J0001,,,02/06/2016,4,6,350000,500000,INR,Released
shg,J0002,,,02/06/2016,3,6,250000,350000,INR,Released
sip,J0001,,,03/04/2015,2,SIPL0015,600000,1100000,INR,Released
sip,J0002,,,,3,,400000,700000,INR,Rejected
sip,J0003,,,07/05/2015,2,SIPL0015,0,0,INR,Released
sip,J0004,,,07/05/2015,4,SIPL0015,0,0,INR,Released
tls,J0001,,,30/04/2015,1,1192,1200000,1400000,INR,Released
tls,J0002,,,11/05/2015,1,1192,400000,500000,INR,Released
tls,J0003,,,17/05/2015,1,1192,200000,300000,INR,Released
tls,J0004,,,20/05/2015,1,1192,2,3,INR,Released
tls,J0005,,,20/05/2015,1,1192,50,300,INR,Released
tmedybiz,J0001,,,21/11/2015,5,MSPL236,120000,240000,INR,Released
twmi,J0001,,,16/06/2016,1,1753,800000,1200000,INR,Released
twmi,J0002,,,06/05/2016,5,1753,250000,450000,INR,Released
twmi,J0004,,,16/06/2016,0,2024,200000,300000,INR,Closed
twmi,J0005,,,06/06/2016,4,2024,200000,300000,INR,Cancelled
twmi,J0006,,,13/06/2016,0,1753,200000,300000,INR,Closed
twmi,J0007,,,,1,,800000,1200000,INR,Approved
twmi,J0008,,,19/07/2016,1,1753,200000,300000,INR,Released
a3,J0001,,,07/03/2013,2,10612,300000,800000,INR,Released
a3,J0002,,,20/03/2013,2,10612,300000,800000,INR,Rejected
a3,J0003,,,11/03/2013,1,10612,400000,800000,INR,Released
a3,J0004,,,11/03/2013,2,10612,250000,600000,INR,Released
a3,J0006,,,11/03/2013,1,10612,500000,1100000,INR,Rejected
a3,J0007,,,05/06/2013,2,10612,500000,1100000,INR,Released
a3,J0008,,,,5,,15000,25000,,Rejected
a3,J0009,,,02/04/2013,5,C0025,4000,8000,SGD,Released
a3,J0010,,,20/03/2013,5,C0025,400000,900000,INR,Released
a3,J0011,,,20/03/2013,4,C0025,3000,4500,SGD,Released
a3,J0012,,,20/03/2013,2,C0025,1000000,1200000,INR,Released
a3,J0013,,,,1,,0,0,INR,Rejected
a3,J0014,,,15/03/2013,3,C0025,500000,700000,INR,Released
a3,J0015,,,15/03/2013,2,10612,500000,900000,INR,Released
a3,J0016,,,17/04/2013,2,10612,400000,900000,INR,Released
a3,J0017,,,,1,,300000,800000,INR,Rejected
a3,J0018,,,,1,,300000,800000,INR,Rejected
a3,J0019,,,,1,,400000,900000,INR,Rejected
a3,J0020,,,25/04/2013,1,C0025,1200000,1500000,INR,Released
a3,J0021,,,,1,,400000,900000,INR,Rejected
a3,J0022,,,17/07/2013,1,10612,300000,800000,INR,Released
a3,J0023,,,19/07/2013,3,10612,300000,1100000,INR,Released
a3,J0024,,,19/07/2013,2,10612,400000,700000,INR,Released
a3,J0025,,,31/07/2013,1,10612,0,300000,INR,Released
a3,J0026,,,03/10/2013,1,10612,600000,1000000,INR,Released
a3,J0027,,,,1,,900000,1000000,INR,Draft
a3,J0028,,,,2,,700000,1100000,INR,Submitted
a3,J0029,,,,1,,300000,500000,INR,Submitted
a3,J0030,,,,2,,300000,900000,INR,Submitted
a3,J0031,,,,2,,400000,600000,INR,Submitted
a3,J0032,,,,1,,350000,400000,INR,Submitted
a3,J0033,,,,1,,250000,400000,INR,Submitted
a3,J0034,,,,1,,300000,500000,INR,Submitted
a3,J0035,,,,1,,300000,500000,INR,Submitted
a4,J0001,,,,5,,450000,650000,INR,Approved
